2026-05-13 06:27:50,077 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 06:27:50,083 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 06:32:47,809 - INFO - Epoch [043/150] | LR: 0.000500 | Loss: 0.0124 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0172 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:32:54,473 - INFO - Epoch [044/150] | LR: 0.000500 | Loss: 0.0108 (PhyAcc:0.0003, Lin:0.0002) | Val Acc Loss: 0.0155 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:01,177 - INFO - Epoch [045/150] | LR: 0.000500 | Loss: 0.0101 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0155 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:07,798 - INFO - Epoch [046/150] | LR: 0.000500 | Loss: 0.0083 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0139 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:14,445 - INFO - Epoch [047/150] | LR: 0.000500 | Loss: 0.0075 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0126 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:21,143 - INFO - Epoch [048/150] | LR: 0.000500 | Loss: 0.0111 (PhyAcc:0.0002, Lin:0.0002) | Val Acc Loss: 0.0112 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:27,813 - INFO - Epoch [049/150] | LR: 0.000500 | Loss: 0.0095 (PhyAcc:0.0001, Lin:0.0002) | Val Acc Loss: 0.0110 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:34,675 - INFO - Epoch [050/150] | LR: 0.000500 | Loss: 0.0096 (PhyAcc:0.0001, Lin:0.0002) | Val Acc Loss: 0.0109 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:41,340 - INFO - Epoch [051/150] | LR: 0.000500 | Loss: 0.0088 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0123 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:47,953 - INFO - Epoch [052/150] | LR: 0.000500 | Loss: 0.0093 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0120 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:33:54,615 - INFO - Epoch [053/150] | LR: 0.000500 | Loss: 0.0086 (PhyAcc:0.0002, Lin:0.0002) | Val Acc Loss: 0.0096 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:01,328 - INFO - Epoch [054/150] | LR: 0.000500 | Loss: 0.0103 (PhyAcc:0.0001, Lin:0.0002) | Val Acc Loss: 0.0094 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:08,020 - INFO - Epoch [055/150] | LR: 0.000500 | Loss: 0.0095 (PhyAcc:0.0002, Lin:0.0002) | Val Acc Loss: 0.0090 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:14,953 - INFO - Epoch [056/150] | LR: 0.000500 | Loss: 0.0091 (PhyAcc:0.0002, Lin:0.0002) | Val Acc Loss: 0.0088 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:21,724 - INFO - Epoch [057/150] | LR: 0.000500 | Loss: 0.0085 (PhyAcc:0.0004, Lin:0.0002) | Val Acc Loss: 0.0088 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:28,473 - INFO - Epoch [058/150] | LR: 0.000500 | Loss: 0.0087 (PhyAcc:0.0001, Lin:0.0002) | Val Acc Loss: 0.0071 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:35,233 - INFO - Epoch [059/150] | LR: 0.000500 | Loss: 0.0082 (PhyAcc:0.0000, Lin:0.0002) | Val Acc Loss: 0.0068 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:41,988 - INFO - Epoch [060/150] | LR: 0.000250 | Loss: 0.0084 (PhyAcc:0.0001, Lin:0.0002) | Val Acc Loss: 0.0074 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:49,012 - INFO - Epoch [061/150] | LR: 0.000250 | Loss: 0.0043 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0078 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:34:55,657 - INFO - Epoch [062/150] | LR: 0.000250 | Loss: 0.0042 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0068 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:02,352 - INFO - Epoch [063/150] | LR: 0.000250 | Loss: 0.0040 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0061 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:09,100 - INFO - Epoch [064/150] | LR: 0.000250 | Loss: 0.0040 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0054 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:15,819 - INFO - Epoch [065/150] | LR: 0.000250 | Loss: 0.0039 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0049 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:22,519 - INFO - Epoch [066/150] | LR: 0.000250 | Loss: 0.0039 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0046 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:29,242 - INFO - Epoch [067/150] | LR: 0.000250 | Loss: 0.0041 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0044 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:35,930 - INFO - Epoch [068/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0039 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:42,546 - INFO - Epoch [069/150] | LR: 0.000250 | Loss: 0.0040 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0042 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:49,382 - INFO - Epoch [070/150] | LR: 0.000250 | Loss: 0.0037 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0035 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:35:56,080 - INFO - Epoch [071/150] | LR: 0.000250 | Loss: 0.0039 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0031 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:02,736 - INFO - Epoch [072/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0032 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:09,417 - INFO - Epoch [073/150] | LR: 0.000250 | Loss: 0.0039 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0031 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:16,201 - INFO - Epoch [074/150] | LR: 0.000250 | Loss: 0.0037 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0031 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:22,926 - INFO - Epoch [075/150] | LR: 0.000250 | Loss: 0.0040 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0029 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:29,664 - INFO - Epoch [076/150] | LR: 0.000250 | Loss: 0.0039 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0030 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:36,360 - INFO - Epoch [077/150] | LR: 0.000250 | Loss: 0.0036 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0026 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:43,175 - INFO - Epoch [078/150] | LR: 0.000250 | Loss: 0.0037 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0024 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:50,370 - INFO - Epoch [079/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0022 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:36:58,065 - INFO - Epoch [080/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0022 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:05,207 - INFO - Epoch [081/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0024 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:12,311 - INFO - Epoch [082/150] | LR: 0.000250 | Loss: 0.0039 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0021 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:19,571 - INFO - Epoch [083/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0022 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:26,584 - INFO - Epoch [084/150] | LR: 0.000250 | Loss: 0.0037 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0021 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:33,473 - INFO - Epoch [085/150] | LR: 0.000250 | Loss: 0.0040 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0018 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:40,461 - INFO - Epoch [086/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0018 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:47,356 - INFO - Epoch [087/150] | LR: 0.000250 | Loss: 0.0036 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0018 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:37:54,210 - INFO - Epoch [088/150] | LR: 0.000250 | Loss: 0.0038 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0017 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:01,205 - INFO - Epoch [089/150] | LR: 0.000250 | Loss: 0.0037 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0017 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:08,291 - INFO - Epoch [090/150] | LR: 0.000125 | Loss: 0.0036 (PhyAcc:0.0001, Lin:0.0001) | Val Acc Loss: 0.0016 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:15,152 - INFO - Epoch [091/150] | LR: 0.000125 | Loss: 0.0026 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0014 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:22,168 - INFO - Epoch [092/150] | LR: 0.000125 | Loss: 0.0026 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0013 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:29,275 - INFO - Epoch [093/150] | LR: 0.000125 | Loss: 0.0026 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0013 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:36,464 - INFO - Epoch [094/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0012 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:43,604 - INFO - Epoch [095/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0011 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:50,669 - INFO - Epoch [096/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0011 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:38:57,838 - INFO - Epoch [097/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0010 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
2026-05-13 06:39:04,952 - INFO - Epoch [098/150] | LR: 0.000125 | Loss: 0.0025 (PhyAcc:0.0000, Lin:0.0001) | Val Acc Loss: 0.0010 | Mem: 176MB (2.3%) | Pwr: [Pwr Error]
