2026-05-13 05:19:03,229 - INFO - Dataset [TRAIN] 加载完毕 | 195921 样本.
2026-05-13 05:19:03,235 - INFO - Dataset [EVAL] 加载完毕 | 35937 样本.
2026-05-13 05:23:31,821 - INFO - Epoch [057/150] | LR: 0.000500 | Loss: 0.0505 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:37,078 - INFO - Epoch [058/150] | LR: 0.000500 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0330) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:41,848 - INFO - Epoch [059/150] | LR: 0.000500 | Loss: 0.0501 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0328) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:46,667 - INFO - Epoch [060/150] | LR: 0.000250 | Loss: 0.0504 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0331) | Val Loss: 0.0008 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:51,898 - INFO - Epoch [061/150] | LR: 0.000250 | Loss: 0.0498 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0328) | Val Loss: 0.0014 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:23:57,143 - INFO - Epoch [062/150] | LR: 0.000250 | Loss: 0.0496 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0326) | Val Loss: 0.0012 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:01,425 - INFO - Epoch [063/150] | LR: 0.000250 | Loss: 0.0495 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0326) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:05,726 - INFO - Epoch [064/150] | LR: 0.000250 | Loss: 0.0492 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0323) | Val Loss: 0.0009 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:11,070 - INFO - Epoch [065/150] | LR: 0.000250 | Loss: 0.0492 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0323) | Val Loss: 0.0015 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
2026-05-13 05:24:15,604 - INFO - Epoch [066/150] | LR: 0.000250 | Loss: 0.0495 (Pred:0.0005, Phy:0.0000, Recon:0.0000, Lin:0.0001, Delta:0.0325) | Val Loss: 0.0011 | Mem: 112MB (1.5%) | Pwr: [Pwr Error]
